feature,importance
fp_bit_2,0.009244578093675893
fp_bit_456,0.007845817386550002
fp_bit_560,0.005431018771642071
fp_bit_90,0.0053854565336249
fp_bit_1538,0.004474211773282255
fp_bit_546,0.004146163659558932
fp_bit_13,0.0039502460360852695
fp_bit_1452,0.0036039730271550607
fp_bit_1011,0.0035219609987242164
fp_bit_1964,0.0034034991798796875
fp_bit_1673,0.003335155822853919
fp_bit_1670,0.0030845635137597303
fp_bit_1641,0.003034445051940926
fp_bit_2020,0.0029478767997083597
fp_bit_599,0.0028430836522689963
fp_bit_364,0.0028294149808638204
fp_bit_1063,0.0028203025332603658
fp_bit_1107,0.002765627847639851
fp_bit_369,0.002729178057226123
logp,0.002724621833424401
